word	nodeType	synsetCount	unit
worldwide	ADJ	3	02x01_-_Follow_Mama_and_Papa
discrete	ADJ	1	02x01_-_Follow_Mama_and_Papa
fierce	ADJ	4	02x01_-_Follow_Mama_and_Papa
key	ADJ	21	02x01_-_Follow_Mama_and_Papa
ostanian	ADJ	0	02x01_-_Follow_Mama_and_Papa
skilled	ADJ	1	02x01_-_Follow_Mama_and_Papa
different	ADJ	5	02x01_-_Follow_Mama_and_Papa
true	ADJ	15	02x01_-_Follow_Mama_and_Papa
true	ADJ	15	02x01_-_Follow_Mama_and_Papa
true	ADJ	15	02x01_-_Follow_Mama_and_Papa
psychic	ADJ	3	02x01_-_Follow_Mama_and_Papa
own	ADJ	2	02x01_-_Follow_Mama_and_Papa
personal	ADJ	6	02x01_-_Follow_Mama_and_Papa
fake	ADJ	8	02x01_-_Follow_Mama_and_Papa
other	ADJ	4	02x01_-_Follow_Mama_and_Papa
original	ADJ	6	02x01_-_Follow_Mama_and_Papa
infamous	ADJ	1	02x01_-_Follow_Mama_and_Papa
several	ADJ	3	02x01_-_Follow_Mama_and_Papa
boring	ADJ	5	02x01_-_Follow_Mama_and_Papa
single	ADJ	10	02x01_-_Follow_Mama_and_Papa
good	ADJ	27	02x01_-_Follow_Mama_and_Papa
certain	ADJ	7	02x01_-_Follow_Mama_and_Papa
exciting	ADJ	10	02x01_-_Follow_Mama_and_Papa
secret	ADJ	14	02x01_-_Follow_Mama_and_Papa
unwell	ADJ	1	02x01_-_Follow_Mama_and_Papa
little	ADJ	10	02x01_-_Follow_Mama_and_Papa
armed	ADJ	5	02x01_-_Follow_Mama_and_Papa
little	ADJ	10	02x01_-_Follow_Mama_and_Papa
tired	ADJ	6	02x01_-_Follow_Mama_and_Papa
sure	ADJ	10	02x01_-_Follow_Mama_and_Papa
well	ADJ	22	02x01_-_Follow_Mama_and_Papa
good	ADJ	27	02x01_-_Follow_Mama_and_Papa
right	ADJ	36	02x01_-_Follow_Mama_and_Papa
bad	ADJ	17	02x01_-_Follow_Mama_and_Papa
unhappy	ADJ	4	02x01_-_Follow_Mama_and_Papa
impressive	ADJ	2	02x01_-_Follow_Mama_and_Papa
good	ADJ	27	02x01_-_Follow_Mama_and_Papa
good	ADJ	27	02x01_-_Follow_Mama_and_Papa
well	ADJ	22	02x01_-_Follow_Mama_and_Papa
well	ADJ	22	02x01_-_Follow_Mama_and_Papa
well	ADJ	22	02x01_-_Follow_Mama_and_Papa
good	ADJ	27	02x01_-_Follow_Mama_and_Papa
good	ADJ	27	02x01_-_Follow_Mama_and_Papa
loose	ADJ	18	02x01_-_Follow_Mama_and_Papa
other	ADJ	4	02x01_-_Follow_Mama_and_Papa
normal	ADJ	5	02x01_-_Follow_Mama_and_Papa
married	ADJ	5	02x01_-_Follow_Mama_and_Papa
great	ADJ	7	02x01_-_Follow_Mama_and_Papa
exciting	ADJ	10	02x01_-_Follow_Mama_and_Papa
sorry	ADJ	4	02x01_-_Follow_Mama_and_Papa
sad	ADJ	3	02x01_-_Follow_Mama_and_Papa
many	ADJ	1	02x01_-_Follow_Mama_and_Papa
odd	ADJ	6	02x01_-_Follow_Mama_and_Papa
important	ADJ	5	02x01_-_Follow_Mama_and_Papa
new	ADJ	12	02x01_-_Follow_Mama_and_Papa
right	ADJ	36	02x01_-_Follow_Mama_and_Papa
last	ADJ	21	02x01_-_Follow_Mama_and_Papa
sorry	ADJ	4	02x01_-_Follow_Mama_and_Papa
more	ADJ	5	02x01_-_Follow_Mama_and_Papa
